site	dec_date	yyyymmdd	hhmmss	wind_dir	wind_spd	F227_	F227__sd
alt	2011.33868	20110504	1448	178	0.6	0.79	0.06
alt	2011.35787	20110511	1454	198.7	1.1	0.72	0.01
alt	2011.37701	20110518	1439	323.5	1.1	0.76	0.04
alt	2011.39913	20110526	1623	256.4	2.7	0.77	0.01
alt	2011.41573	20110601	1748	223.6	1.5	0.75	0.00
alt	2011.43474	20110608	1619	82.9	2.7	0.80	0.00
alt	2011.45667	20110616	1628	56.4	1.3	0.79	0.02
alt	2011.47603	20110623	1800	88.2	4.7	0.76	0.01
alt	2011.49220	20110629	1541	307.9	2.3	0.80	0.01
alt	2011.62958	20110818	1908	278	0.6	0.76	0.03
alt	2011.67024	20110902	1518	204.6	4.9	0.80	0.02
alt	2011.68386	20110907	1436	68.5	1.9	0.79	0.02
alt	2011.70582	20110915	1501	304.7	2.6	0.80	0.00
alt	2011.72219	20110921	1421	187	10.5	0.77	0.01
alt	2011.74134	20110928	1409	195.2	6.1	0.77	0.01
alt	2011.76053	20111005	1415	210.1	16.6	0.78	0.03
alt	2011.77983	20111012	1518	310	1.2	0.79	0.04
alt	2011.80444	20111021	1454	110	3.6	0.78	0.00
alt	2011.81815	20111026	1501	-99	12.4	0.81	0.02
alt	2011.83719	20111102	1349	201.3	15.9	0.81	0.02
alt	2011.85673	20111109	1658	171.7	1.2	0.81	0.01
alt	2011.87841	20111117	1454	274.8	2.5	0.81	0.01
alt	2011.89772	20111124	1602	139.5	0.7	0.82	0.04
alt	2011.91950	20111202	1450	-99	0	0.79	0.03
alt	2011.93344	20111207	1657	255.1	0.3	0.80	0.01
alt	2011.95787	20111216	1456	196.2	1.1	0.89	0.02
alt	2011.97169	20111221	1558	202.3	4.1	0.85	0.02
alt	2011.99681	20111230	2003	127	1.1	0.83	0.00
alt	2012.01014	20120104	1703	246	2.2	0.83	0.01
alt	2012.02900	20120111	1446	199	14	0.85	0.02
alt	2012.05371	20120120	1548	92.6	1.7	0.84	0.01
alt	2012.06725	20120125	1442	190	5.4	0.83	0.01
alt	2012.08653	20120201	1604	193	1.3	0.83	0.02
alt	2012.10834	20120209	1542	201	5.4	0.84	0.01
alt	2012.12481	20120215	1621	280	1.2	0.83	0.03
alt	2012.14714	20120223	2028	153	1	0.83	0.02
alt	2012.16846	20120302	1547	238	1.1	0.82	0.01
alt	2012.18209	20120307	1527	200	13	0.83	0.01
alt	2012.20660	20120316	1444	63	0.8	0.86	0.02
alt	2012.22286	20120322	1335	300	1.1	0.85	0.01
alt	2012.23930	20120328	1402	221	7.7	0.84	0.01
alt	2012.25891	20120404	1816	256	1.4	0.84	0.01
alt	2012.28305	20120413	1420	201	2	0.85	0.01
alt	2012.30210	20120420	1338	253	0.9	0.88	0.05
