site	dec_date	yyyymmdd	hhmmss	wind_dir	wind_spd	hfc134a	hfc134a_sd
alt	1994.93629	19941208	1753	304	0.6	1.79	0.01
alt	1995.03206	19950112	1651	352	3.7	1.95	0.07
alt	1995.12817	19950216	1844	294	1.4	1.88	0.19
alt	1995.24594	19950331	1827	207	8.4	1.93	0.16
alt	1995.26189	19950406	1410	245	0.5	2.18	0.14
alt	1995.28395	19950414	1524	289	1.86	2.29	0.01
alt	1995.31940	19950427	1357	160	6.8	2.15	0.05
alt	1995.35792	19950511	1525	154	1.3	2.25	0.05
alt	1995.37705	19950518	1457	240	0.1	2.33	0.16
alt	1995.57188	19950728	1741	340	1.6	3.03	0.01
alt	1995.58802	19950803	1502	352	1.2	2.50	0.08
alt	1995.61047	19950811	1943	148	6.6	2.34	0.01
alt	1995.62933	19950818	1655	334	2.4	2.76	0.09
alt	1995.65707	19950828	1956	218	13.6	2.63	0.08
alt	1995.66769	19950901	1700	244	7.4	2.68	0.20
alt	1995.85953	19951110	1730	295	2	2.67	0.28
alt	1995.87869	19951117	1722	179	0.6	3.05	0.05
alt	1995.89793	19951124	1750	257	1.9	3.07	0.01
alt	1995.91423	19951130	1637	193	5	2.96	0.03
alt	1995.93631	19951208	1807	205	4.7	3.55	0.07
alt	1996.03249	19960112	2123	168	1.7	3.32	0.11
alt	1996.07045	19960126	1851	29	0.8	3.46	0.07
alt	1996.16586	19960301	1655	128	0.01	3.74	0.05
alt	1996.19101	19960310	2150	193	2.2	3.89	0.26
alt	1996.26153	19960405	1718	280	2.1	3.93	0.01
alt	1996.31920	19960426	1950	210	10.4	3.77	0.16
alt	1996.35466	19960509	1920	8	1.1	3.80	0.17
alt	1996.43378	19960607	1818	184	3.9	3.97	0.13
alt	1996.47193	19960621	1727	102	4.1	4.37	0.33
alt	1996.50723	19960704	1533	168.4	5.6	4.20	0.29
alt	1996.52944	19960712	1835	52	3.13	4.09	0.15
alt	1996.64385	19960823	1534	191	7	4.33	0.09
alt	1996.66304	19960830	1608	332	1.2	5.17	0.41
alt	1996.73951	19960927	1553	282	1.2	4.79	0.14
alt	1996.77782	19961011	1624	250	1.1	5.16	0.24
alt	1996.85421	19961108	1524	130	0.8	5.37	0.03
alt	1996.87333	19961115	1521	338	1.4	5.07	0.26
alt	1996.95007	19961213	1723	73	0.4	5.25	0.53
alt	1997.04604	19970117	1917	118	3	5.89	0.25
alt	1997.10054	19970206	1644	150	1.8	5.71	0.17
alt	1997.15813	19970227	1714	220	3	5.71	0.20
alt	1997.17984	19970307	1523	96	4.2	6.43	0.04
alt	1997.19673	19970313	1919	269	4.4	6.02	0.01
alt	1997.40748	19970529	1731	37.369	0.4911	6.14	0.07
alt	1997.42963	19970606	1933	179.64	1.373	6.04	0.00
alt	1997.50373	19970703	2043	344.58	1.471	6.95	0.04
alt	1997.75263	19971002	1703	-99	-99	7.46	0.03
alt	1997.77174	19971009	1627	88.216	0.393	7.46	0.04
alt	1997.98577	19971226	1923	344.42	0.393	8.10	0.05
alt	1998.04297	19980116	1625	109.9	1.863	8.97	0.39
alt	1998.07893	19980129	1925	-99	-99	8.27	0.16
alt	1998.23456	19980327	1445	241.99	12.937	8.71	0.02
alt	1998.27022	19980409	1506	334.36	0.491	8.72	0.15
alt	1998.32806	19980430	1746	298.68	2.059	8.73	0.05
alt	1998.38498	19980521	1224	-99	-99	8.90	0.10
alt	1998.40450	19980528	1524	-99	-99	9.14	0.01
alt	1998.42357	19980604	1427	171.8	3.3	9.21	0.11
alt	1998.53877	19980716	1535	72.4	3.13	9.36	0.06
alt	1998.57705	19980730	1457	231.59	13.623	9.56	0.09
alt	1998.59633	19980806	1550	285.82	1.863	10.06	0.03
alt	1998.61539	19980813	1450	207	3.6	10.11	0.14
alt	1998.65695	19980828	1853	25.177	-99	10.24	0.25
alt	1998.69210	19980910	1449	209.09	22.639	10.33	0.04
alt	1998.71174	19980917	1849	241.6	3.63	9.95	0.09
alt	1998.73045	19980924	1447	219.2	6.468	11.05	0.08
alt	1998.78810	19981015	1547	315.97	2.891	10.64	0.03
alt	1998.80716	19981022	1443	186.8	3.773	10.98	0.09
